inspect1,inspect2,interval,x0,x1,x2
1,2,7,1,0.40625,0.098969348
1,3,7,1,0.40625,0.098969348
1,2,7,1,0.40625,0.098969348
1,2,7,1,0.40625,0.098969348
1,1,7,1,0.2375,0.098969348
1,1,7,1,0.125,0.098969348
1,2,7,1,0.30625,0.098969348
1,2,7,1,0.40625,0.098969348
1,2,7,1,0.40625,0.107651809
1,2,7,1,0.40625,0.107651809
1,2,7,1,0.40625,0.107651809
1,2,7,1,0.40625,0.107651809
1,2,7,1,0.40625,0.107651809
1,2,7,1,0.40625,0.107651809
1,2,7,1,0.40625,0.107651809
1,2,7,1,0.40625,0.107651809
1,1,7,1,0.40625,0.107651809
1,2,7,1,0.40625,0.079275421
1,1,7,1,0.40625,0.079275421
1,1,7,1,0.40625,0.079275421
1,2,7,1,0.40625,0.079275421
1,1,7,1,0.40625,0.079275421
1,1,7,1,0.40625,0.079275421
1,1,7,1,0.40625,0.079275421
1,1,7,1,0.40625,0.079275421
1,2,7,1,0.40625,0.079275421
1,1,7,1,0.40625,0.079275421
1,1,7,1,0.40625,0.079275421
1,1,3,1,0.35178125,0.079275421
1,1,3,1,0.40625,0.079275421
1,1,3,1,0.4078125,0.079275421
1,1,3,1,0.40625,0.079275421
1,1,3,1,0.40625,0.079275421
1,1,3,1,0.40625,0.079275421
1,2,3,1,0.40625,0.079275421
1,1,3,1,0.3975,0.079275421
1,2,3,1,0.39375,0.079275421
1,1,3,1,0.39625,0.079275421
1,1,3,1,0.390625,0.079275421
1,2,3,1,0.396875,0.079275421
1,2,3,1,0.3953125,0.079275421
1,2,3,1,0.3953125,0.079275421
1,3,3,1,0.396875,0.079275421
1,2,3,1,0.4,0.079275421
1,2,3,1,0.4015625,0.079275421
1,2,3,1,0.396875,0.079275421
1,2,3,1,0.39921875,0.079275421
1,2,3,1,0.39853125,0.079275421
1,1,3,1,0.40625,0.079275421
1,1,3,1,0.40625,0.079275421
1,2,3,1,0.39853125,0.995413376
1,2,3,1,0.4,0.995413376
1,2,3,1,0.396875,0.995413376
1,2,3,1,0.39853125,0.995413376
1,2,3,1,0.39865625,0.995413376
1,2,3,1,0.4,0.995413376
1,2,3,1,0.4,0.995413376
1,2,3,1,0.396875,0.995413376
1,1,3,1,0.375,0.038807835
1,1,3,1,0.375,0.038807835
1,2,3,1,0.375,0.038807835
1,2,3,1,0.375,0.075866685
1,2,3,1,0.375,0.075866685
1,2,3,1,0.375,0.075866685
1,2,3,1,0.375,0.075866685
1,2,3,1,0.375,0.075866685
1,2,3,1,0.375,0.075866685
1,2,3,1,0.375,0.075866685
1,2,3,1,0.375,0.075866685
1,2,3,1,0.375,0.075866685
1,2,3,1,0.375,0.075866685
1,2,3,1,0.375,0.075866685
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,1,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
1,2,3,1,0.375,0.025199661
