year,fuelcost,capacity,energyprice,fuelcost,capacity,energyprice,fuelcost,capacity,energyprice
2016,0.0000000000000,0.0000000000000,0.0000000000000,0,0,85,0,0,0
2017,0.0000000000000,0.0000000000000,0.0000000000000,0,0,85,0,0,0
2018,0.0000000000000,0.0000000000000,0.0000000000000,0,0,85,0,0,0
2019,0.0000000000000,0.0000000000000,0.0000000000000,0,0,85,0,0,0
2020,0.0000000000000,0.0000000000000,0.0000000000000,0,0,85,0,0,0
2021,2.0823632543835,76.4133177537877,48.6540081534655,2.08,83.8,85,2.08,76.4,56.97
2022,2.2366237459423,85.1286407045158,56.1930684708467,2.24,86.1,85,2.24,81.9,34
2023,2.4047922318353,86.8453607638420,66.5742552985558,2.4,87.1,85,2.4,82.5,53.57
2024,2.5881226449680,88.3954494412745,67.7079004110352,2.59,88,85,2.59,88.6,67.65
2025,2.7879819717673,88.6670819710278,69.5460317135678,2.79,87,85,2.79,86.2,70.6
2026,2.7879819717673,86.0788432292440,70.6412722230128,2.79,84.2,85,2.79,85.7,70.82
2027,2.7879819717673,84.6874474547311,71.2570379708567,2.79,83.2,85,2.79,84.7,71.26
2028,2.7879819717673,83.7816490340982,71.6634149434185,2.79,82.1,85,2.79,83.7,71.68
2029,2.7879819717673,84.0535300985527,71.5405525212255,2.79,81.1,85,2.79,84.1,71.53
2030,2.7879819717673,83.6988483727248,71.7065763568145,2.79,80.1,85,2.79,83.7,71.71
2031,2.7879819717673,81.2223693699103,72.8689343656119,2.79,77.4,85,2.79,81.5,72.72
2032,2.7879819717673,81.2223693699103,72.8689343656119,2.79,77.4,85,2.79,81.5,72.72
2033,2.7879819717673,79.6544329494591,73.6583540969422,2.79,75.8,85,2.79,79.8,73.6
2034,2.7879819717673,79.6544329494591,73.6583540969422,2.79,75.8,85,2.79,79.8,73.6
2035,2.7879819717673,76.4076930774735,75.4016774341328,2.79,71.5,85,2.79,76.4,75.4
2036,2.7879819717673,76.4076930774735,75.4016774341328,2.79,71.5,85,2.79,76.4,75.4
2037,2.7879819717673,76.4076930774735,75.4016774341328,2.79,71.5,85,2.79,76.4,75.4
2038,2.7879819717673,66.6030698098917,81.6528200890541,2.79,65.3,85,2.79,66.5,81.74
2039,2.7879819717673,66.6030698098917,81.6528200890541,2.79,65.3,85,2.79,66.5,81.74
2040,2.7879819717673,66.6030698098917,81.6528200890541,2.79,65.3,85,2.79,66.5,81.74
2041,2.7879819717673,66.6030698098917,81.6528200890541,2.79,65.3,85,2.79,66.5,81.74
2042,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2043,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2044,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2045,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2046,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2047,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2048,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2049,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2050,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2051,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2052,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2053,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
2054,2.7879819717673,67.0280611247808,81.3615884221133,2.79,62.4,85,2.79,67,81.36
