ward,no.,leakage/y/m/d,leakage point,cause,repair way,other repair,remove or not,diameter,leakage year,construction year
A,19,昭和62年00月00日,配水管本体,不明,管取替え,,撤去済,100,1987,1987
A,96,昭和63年00月00日,不明,不明,不明,,未撤去,150,1988,1980
A,229,平成04年02月00日,不明,不明,割継輪,,未撤去,100,1992,1977
A,363,平成16年1月29日,配水管本体,不明,割継輪,,未撤去,150,2004,1984
A,371,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1970
A,371,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1970
A,371,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1970
A,371,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1970
A,417,平成14年2月13日,不明,その他,管取替え,,撤去済,200,2002,2001
A,509,平成01年00月00日,不明,不明,不明,,未撤去,200,1989,1970
A,632,平成02年00月00日,不明,不明,不明,,未撤去,300,1990,1971
A,653,平成03年12月00日,配水管本体,不明,管取替え,,未撤去,300,1991,1989
A,694,平成05年11月00日,不明,不明,不明,,未撤去,200,1993,1971
A,702,平成7年3月2日,配水管本体,第3者,割継輪,,未撤去,150,1995,1993
A,1027,昭和58年00月00日,不明,不明,不明,,未撤去,200,1983,1977
A,1211,平成05年11月00日,不明,不明,不明,,未撤去,200,1993,1969
A,1455,昭和63年00月00日,不明,その他,不明,,未撤去,300,1988,1978
A,1843,平成02年00月00日,不明,不明,不明,,未撤去,150,1990,1970
A,1844,平成02年00月00日,不明,不明,不明,,未撤去,150,1990,1974
A,1856,昭和60年00月00日,不明,不明,不明,,未撤去,150,1985,1968
A,1856,昭和60年00月00日,不明,不明,不明,,未撤去,150,1985,1968
A,2050,平成03年07月00日,不明,その他,不明,,未撤去,150,1991,1968
A,2158,平成12年11月2日,継手,不明,ボルト替え,,未撤去,200,2000,1966
A,2283,平成12年12月20日,配水管本体,不明,割継輪,,未撤去,200,2000,1974
A,2312,平成06年08月00日,不明,不明,不明,,未撤去,150,1994,1968
A,2541,平成4年1月25日,配水管本体,不明,管取替え,管取替修繕,撤去済,200,1992,1966
A,2547,平成03年11月00日,配水管本体,不明,管取替え,,撤去済,200,1991,1968
A,2547,平成17年11月21日,配水管本体,不明,割継輪,給水管修繕工事,未撤去,200,2005,1968
A,2567,平成18年8月21日,配水管本体,不明,管取替え,,不明,200,2006,1987
C,150,平成04年07月00日,不明,不明,不明,,未撤去,300,1992,1969
C,176,平成16年6月19日,不明,不明,管取替え,,未撤去,300,2004,1970
C,384,平成15年12月4日,配水管本体,不明,割継輪,,未撤去,100,2003,1967
C,580,平成05年03月00日,不明,不明,不明,,不明,150,1993,1972
C,580,平成05年03月00日,不明,不明,不明,,不明,150,1993,1972
C,729,昭和55年00月00日,不明,不明,不明,,未撤去,150,1980,1979
C,883,平成17年7月7日,不明,その他,不明,,未撤去,150,2005,1968
C,1019,昭和62年00月00日,不明,不明,不明,,不明,150,1987,1975
C,1142,昭和61年00月00日,不明,不明,不明,,不明,150,1986,1972
C,1223,昭和61年00月00日,不明,不明,不明,,不明,100,1986,1966
C,1224,昭和61年00月00日,不明,不明,不明,,不明,150,1986,1966
C,1262,昭和61年00月00日,不明,不明,不明,,不明,200,1986,1966
C,1262,平成13年11月8日,継手,不明,ボルト替え,フランジボルト取り替え,未撤去,200,2001,1966
C,1337,平成17年8月31日,配水管本体,不明,割継輪,,未撤去,100,2005,1993
C,1443,昭和57年00月00日,不明,不明,不明,,未撤去,150,1982,1966
C,1415,平成14年7月27日,配水管本体,不明,割継輪,,未撤去,200,2002,1966
C,1556,平成03年12月00日,不明,不明,不明,,未撤去,100,1991,1991
C,1556,平成03年12月00日,不明,不明,不明,,未撤去,100,1991,1991
C,1945,平成13年11月10日,不明,第3者,割継輪,給水管漏水修繕工事,未撤去,150,2001,1983
C,2228,平成15年12月19日,配水管本体,不明,管取替え,,撤去済,100,2003,2002
C,2246,平成02年00月00日,不明,不明,不明,,不明,150,1990,1973
C,2246,平成03年04月00日,不明,不明,不明,,不明,150,1991,1973
C,2247,平成15年12月19日,配水管本体,不明,管取替え,,撤去済,200,2003,1994
