ward,no.,??Åfl,material,joint,diameter,length(m),leakage year,construction year,??ê›ÅhNêÅh,çXê∂ÅhNÅgx,çXê∂??? ,???ÃçÅˆ?v?èêÅh,Ågπ?H??Åf Åh??Q?zÅiÅÒ~Åj,?s?ØÅg??÷?ÃÅh??Q?zÅiÅÒ~Åj,ÅffêÅcÅh??Q?zÅiÅÒ~Åj,èCÅeUÅh??pÅiÅÒ~Åj,?RêÅcÅeπ?∏(ÅÒ~Åj,?O? ?ÅcêH??ê≥?WêÅh,Åg?? ?ÅcêH??ê≥?WêÅh,?zê›ÅhNÅgx??ê≥?WêÅh,?p????ê≥?WêÅh,???a??ê≥?WêÅh,ÅÒﬂ???Ã???Ã??RL(??Åj,???ÃÅh≠ê∂?\Åe™?ÆRN,RN?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh,Åh??pÅiê?ÅÒ~Åj,?÷ÅÒvÅiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?,ÅÒﬂ???Ã???Ã??RL(??+1Åj,???ÃÅh≠ê∂?\Åe™?ÆRN',RN'?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh(2),?÷ÅÒv(2)Åiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?(2),?ÅÒ?Åg?N
I,1,1.11,?c,?`,300,2,,1980,27,0,,0,"1,610,800","505,248","1,077,235","2,786,096","9,380",1,1,1,1,1,0.205,0,2337,0.96,377,"5,749",13.84,1.218,0.003,394,0.96,"5,749",13.84,A
I,2,1.11,?c,?m?r,150,365,,2001,6,0,,0,"1,610,800","505,248","1,077,235","2,786,096","1,642,412",1,1,1,1,1,0.205,0.075,13,2.06,"65,929","15,701",0.22,1.218,0.445,2,10.88,"82,925",1.14,B
I,3,1.11,?c,?s,150,496,,1980,27,0,,0,"2,954,136","505,248","1,077,235","2,786,096","2,228,583",1,1,1,1,1,0.205,0.102,10,2.53,"89,458","24,165",0.25,1.218,0.604,2,10.88,"103,918",1.05,B
I,4,0.82,?c,?s,150,343,,1972,35,0,,0,"133,758","505,248","1,077,235","2,786,096","1,541,747",1,1,1,1,1,0.205,0.07,14,1.95,"61,888","11,786",0.17,1.218,0.418,2,10.88,"65,760",0.96,C
I,5,1.15,?c,?j,150,5,,1997,10,0,,0,"1,610,800","505,248","1,077,235","2,786,096","23,030",1,1,1,1,1,0.205,0.001,952,0.96,924,"5,762",5.66,1.218,0.006,160,0.96,"5,762",5.66,A
I,6,1.15,?c,?j,150,6,,1997,10,0,,0,"53,133","505,248","1,077,235","2,786,096","25,470",1,1,1,1,1,0.205,0.001,861,0.96,"1,022","4,269",3.79,1.218,0.007,145,0.96,"4,269",3.79,A
I,7,1.15,?c,?s,150,74,,1977,30,0,,0,"536,574","505,248","1,077,235","2,786,096","332,540",1,1,1,1,1,0.205,0.015,66,0.96,"13,349","5,028",0.34,1.218,0.09,11,2.35,"12,309",0.84,C
I,8,1.15,?c,?s,150,202,,1992,15,0,,0,"536,574","505,248","1,077,235","2,786,096","907,481",1,1,1,1,1,0.205,0.041,24,1.35,"36,428","7,847",0.2,1.218,0.246,4,5.66,"32,900",0.82,C
I,9,1.15,?c,?`,200,9,,1966,41,0,,0,"1,610,800","505,248","1,077,235","2,786,096","38,759",1,1,1,1,1,0.205,0.002,566,0.96,"1,556","5,777",3.37,1.218,0.01,95,0.96,"5,777",3.37,A
I,10,1.15,?c,?j,100,9,,1997,10,0,,0,"133,758","505,248","1,077,235","2,786,096","39,113",1,1,1,1,1,0.205,0.002,560,0.96,"1,570","4,360",2.52,1.218,0.011,94,0.96,"4,360",2.52,A
