ward,no.,Çãíl,material,joint,diameter,length(m),leakage year,construction year,ñÑê›îNêî,çXê∂îNìx,çXê∂éÌï ,éñåÃçáåvåèêî,ìπòHåí îÌäQäzÅiâ~Åj,ésñØìôÇ÷ÇÃîÌäQäzÅiâ~Åj,ífêÖîÌäQäzÅiâ~Åj,èCëUîÔópÅiâ~Åj,òRêÖëπé∏(â~Åj,äOñ ïÖêHï‚ê≥åWêî,ì‡ñ ïÖêHï‚ê≥åWêî,ïzê›îNìxï‚ê≥åWêî,åpéËï‚ê≥åWêî,å˚åaï‚ê≥åWêî,âﬂãéÇÃéñåÃóRL(ÇòÅj,éñåÃî≠ê∂ó\ë™éÆRN,RNÇÃãtêî,ï÷âvÇÃä∑éZåWêî,îÔópÅiêÁâ~Åj,ï÷âvÅiêÁâ~Åj,îÔópï÷âvî‰,âﬂãéÇÃéñåÃóRL(Çò+1Åj,éñåÃî≠ê∂ó\ë™éÆRN',RN'ÇÃãtêî,ï÷âvÇÃä∑éZåWêî(2),ï÷âv(2)ÅiêÁâ~Åj,îÔópï÷âvî‰(2),ÉâÉìÉN
K,1,1.39,Çc,ÇmÇr,200,93,,2002,5,0,,0,"2,954,136","505,248","1,077,235","2,786,096","418,440",1,1,1,1,1,0.205,0.019,52,0.96,"16,797","7,432",0.4,1.218,0.113,9,2.77,"21,443",1.16,B
K,2,1.39,Çc,ÇmÇr,100,3,,1997,10,0,,0,"2,954,136","505,248","1,077,235","2,786,096","14,111",1,1,1,1,1,0.205,0.001,1553,0.96,566,"7,043",11.29,1.218,0.004,262,0.96,"7,043",11.29,A
K,3,1.39,Çc,ÇmÇr,200,396,,2001,6,0,,0,0,"505,248","1,077,235","2,786,096","1,782,957",1,1,1,1,1,0.205,0.081,12,2.19,"71,570","13,472",0.17,1.218,0.483,2,10.88,"66,929",0.85,C
K,4,1.39,Çc,Çj,150,5,,1997,10,0,,0,"2,954,136","505,248","1,077,235","2,786,096","20,382",1,1,1,1,1,0.205,0.001,1075,0.96,818,"7,049",7.82,1.218,0.006,181,0.96,"7,049",7.82,A
K,5,1.39,Çc,ÇrÇQ,300,320,,1997,10,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,439,867",1,1,1,1,1,0.205,0.066,15,1.85,"57,798","16,211",0.25,1.218,0.39,3,7.4,"64,843",1.02,B
K,6,1.39,Çc,ÇmÇr,100,165,,2004,3,0,,0,"2,954,136","505,248","1,077,235","2,786,096","740,732",1,1,1,1,1,0.205,0.034,30,1.21,"29,734","9,757",0.3,1.218,0.201,5,4.61,"37,172",1.13,B
K,7,1.24,Çc,Çj,300,3,,1993,14,0,,0,"2,954,136","505,248","1,077,235","2,786,096","15,254",1,1,1,1,1,0.205,0.001,1437,0.96,612,"7,044",10.44,1.218,0.004,242,0.96,"7,044",10.44,A
K,8,1.24,Çc,Çs,150,3,,1993,14,0,,0,"2,954,136","505,248","1,077,235","2,786,096","12,944",1,1,1,1,1,0.205,0.001,1693,0.96,520,"7,042",12.29,1.218,0.004,285,0.96,"7,042",12.29,A
K,9,1.52,Çc,Çs,150,343,,1976,31,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,543,339",1,1,1,1,1,0.205,0.07,14,1.95,"61,952","17,289",0.25,1.218,0.418,2,10.88,"96,463",1.41,B
K,10,1.52,Çc,Çs,150,372,,1972,35,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,671,431",1,1,1,1,1,0.205,0.076,13,2.06,"67,094","18,528",0.25,1.218,0.453,2,10.88,"97,856",1.32,B
K,11,1.24,Çc,Çj,150,12,,2001,6,0,,0,"536,574","505,248","1,077,235","2,786,096","56,161",1,1,1,1,1,0.205,0.003,390,0.96,"2,254","4,763",1.92,1.218,0.015,66,0.96,"4,763",1.92,A
K,12,1.39,Çc,Ç`,300,9,,1980,27,0,,0,0,"505,248","1,077,235","2,786,096","40,476",1,1,1,1,1,0.205,0.002,542,0.96,"1,625","4,233",2.36,1.218,0.011,91,0.96,"4,233",2.36,A
K,13,1.39,Çc,Çj,300,3,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","14,360",1,1,1,1,1,0.205,0.001,1526,0.96,576,"4,208",6.63,1.218,0.004,257,0.96,"4,208",6.63,A
K,14,1.39,Çc,Ç`,300,206,,1980,27,0,,0,"133,758","505,248","1,077,235","2,786,096","924,970",1,1,1,1,1,0.205,0.042,24,1.35,"37,130","7,327",0.18,1.218,0.251,4,5.66,"30,719",0.75,C
K,15,1.24,Çc,Çs,150,252,,1982,25,0,,0,"133,758","505,248","1,077,235","2,786,096","1,134,562",1,1,1,1,1,0.205,0.052,19,1.58,"45,543","8,906",0.18,1.218,0.307,3,7.4,"41,713",0.83,C
K,16,1.39,Çc,Çs,100,2,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","8,851",1,1,1,1,1,0.205,0,2477,0.96,355,"4,202",10.74,1.218,0.002,417,0.96,"4,202",10.74,A
K,17,1.39,Çc,Çj,300,31,,1993,14,0,,0,"2,954,136","505,248","1,077,235","2,786,096","138,325",1,1,1,1,1,0.205,0.006,158,0.96,"5,553","7,163",1.17,1.218,0.037,27,1.27,"9,476",1.55,A
K,18,1.24,Çc,ÇrÇQ,300,176,,2001,6,0,,0,"2,954,136","505,248","1,077,235","2,786,096","789,224",1,1,1,1,1,0.205,0.036,28,1.25,"31,681","10,140",0.29,1.218,0.214,5,4.61,"37,396",1.07,B
K,19,1.52,Çc,Çs,200,334,2004,1971,36,0,,2,"2,954,136","505,248","1,077,235","2,786,096","1,500,829",1,1,1,1,1,1.746,0.583,2,10.88,"60,245","96,000",1.45,1.969,0.657,2,10.88,"96,000",1.45,A
K,20,1.52,Çc,Çs,150,183,,1993,14,0,,0,"2,954,136","505,248","1,077,235","2,786,096","823,832",1,1,1,1,1,0.205,0.038,27,1.27,"33,070","10,346",0.28,1.218,0.223,4,5.66,"46,109",1.27,B
K,21,1.26,Çc,ÇrÇQ,300,26,,2006,1,0,,0,"2,954,136","505,248","1,077,235","2,786,096","116,511",1,1,1,1,1,0.205,0.005,188,0.96,"4,677","7,142",1.39,1.218,0.032,32,1.17,"8,704",1.69,A
K,22,1.26,Çc,ÇmÇr,100,2,,2006,1,0,,0,"2,954,136","505,248","1,077,235","2,786,096","9,390",1,1,1,1,1,0.205,0,2334,0.96,377,"7,039",16.94,1.218,0.003,393,0.96,"7,039",16.94,A
K,23,1.26,Çc,Çj,300,6,,1993,14,0,,0,"2,954,136","505,248","1,077,235","2,786,096","25,149",1,1,1,1,1,0.205,0.001,872,0.96,"1,009","7,054",6.34,1.218,0.007,147,0.96,"7,054",6.34,A
K,24,1.26,Çc,Çs,150,1,,1995,12,0,,0,"2,954,136","505,248","1,077,235","2,786,096","5,129",1,1,1,1,1,0.205,0,4274,0.96,206,"7,035",30.99,1.218,0.001,720,0.96,"7,035",30.99,A
K,25,1.26,Çc,Çj,300,3,,1993,14,0,,0,"2,954,136","505,248","1,077,235","2,786,096","12,105",1,1,1,1,1,0.205,0.001,1811,0.96,486,"7,041",13.15,1.218,0.003,305,0.96,"7,041",13.15,A
K,26,1.26,Çc,Ç`,300,20,,1968,39,0,,0,"2,954,136","505,248","1,077,235","2,786,096","89,427",1,1,1,1,1,0.205,0.004,245,0.96,"3,590","7,116",1.8,1.218,0.024,41,1.04,"7,709",1.95,A
K,27,1.26,Çc,Ç`,200,76,,1969,38,0,,0,"536,574","505,248","1,077,235","2,786,096","341,777",1,1,1,1,1,0.205,0.016,64,0.96,"13,719","5,037",0.33,1.218,0.093,11,2.35,"12,330",0.82,C
K,28,1.26,Çc,Çj,150,4,,2006,1,0,,0,"2,954,136","505,248","1,077,235","2,786,096","16,388",1,1,1,1,1,0.205,0.001,1338,0.96,658,"7,046",9.72,1.218,0.004,225,0.96,"7,046",9.72,A
K,29,1.26,Çc,ÇmÇr,200,259,,2006,1,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,163,401",1,1,1,1,1,0.205,0.053,19,1.58,"46,701","13,408",0.26,1.218,0.315,3,7.4,"62,797",1.22,B
K,30,1.26,Çc,ÇmÇr,200,15,,2006,1,0,,0,"2,954,136","505,248","1,077,235","2,786,096","68,632",1,1,1,1,1,0.205,0.003,319,0.96,"2,755","7,096",2.34,1.218,0.019,54,0.96,"7,096",2.34,A
K,31,1.27,Çc,Çs,150,130,,1982,25,0,,0,"2,954,136","505,248","1,077,235","2,786,096","584,088",1,1,1,1,1,0.205,0.027,38,1.08,"23,446","8,539",0.33,1.218,0.158,6,3.92,"30,995",1.2,B
K,32,1.3,Çc,Ç`,150,173,1992,1968,39,0,,1,"2,954,136","505,248","1,077,235","2,786,096","777,095",1,1,1,1,1,1.218,0.21,5,4.61,"31,194","37,340",1.09,1.746,0.302,3,7.4,"59,939",1.74,A
K,33,1.3,Çc,Çs,150,2,,1993,14,0,,0,"2,954,136","505,248","1,077,235","2,786,096","9,696",1,1,1,1,1,0.205,0,2261,0.96,389,"7,039",16.42,1.218,0.003,381,0.96,"7,039",16.42,A
K,34,1.3,Çc,Çj,300,139,,1989,18,0,,0,"2,954,136","505,248","1,077,235","2,786,096","623,630",1,1,1,1,1,0.205,0.028,35,1.12,"25,033","8,900",0.32,1.218,0.169,6,3.92,"31,150",1.13,B
