ward,no.,Çãíl,material,joint,diameter,length(m),leakage year,construction year,ñÑê›îNêî,çXê∂îNìx,çXê∂éÌï ,éñåÃçáåvåèêî,ìπòHåí îÌäQäzÅiâ~Åj,ésñØìôÇ÷ÇÃîÌäQäzÅiâ~Åj,ífêÖîÌäQäzÅiâ~Åj,èCëUîÔópÅiâ~Åj,òRêÖëπé∏(â~Åj,äOñ ïÖêHï‚ê≥åWêî,ì‡ñ ïÖêHï‚ê≥åWêî,ïzê›îNìxï‚ê≥åWêî,åpéËï‚ê≥åWêî,å˚åaï‚ê≥åWêî,âﬂãéÇÃéñåÃóRL(ÇòÅj,éñåÃî≠ê∂ó\ë™éÆRN,RNÇÃãtêî,ï÷âvÇÃä∑éZåWêî,îÔópÅiêÁâ~Åj,ï÷âvÅiêÁâ~Åj,îÔópï÷âvî‰,âﬂãéÇÃéñåÃóRL(Çò+1Åj,éñåÃî≠ê∂ó\ë™éÆRN',RN'ÇÃãtêî,ï÷âvÇÃä∑éZåWêî(2),ï÷âv(2)ÅiêÁâ~Åj,îÔópï÷âvî‰(2),ÉâÉìÉN
N,1,0.88,Çc,ÇrÇQ,300,10,,1998,9,0,,0,"2,954,136","505,248","1,077,235","2,786,096","44,280",1,1,1,1,1,0.205,0.002,495,0.96,"1,777","7,072",3.61,1.218,0.012,83,0.96,"7,072",3.61,A
N,2,0.69,Çc,ÇmÇr,200,2,,1998,9,0,,0,"2,954,136","505,248","1,077,235","2,786,096","8,658",1,1,1,1,1,0.205,0,2532,0.96,348,"7,038",18.35,1.218,0.002,426,0.96,"7,038",18.35,A
N,3,1.22,Çc,Çs,200,243,,1987,20,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,094,637",1,1,1,1,1,0.205,0.05,20,1.52,"43,940","12,794",0.26,1.218,0.296,3,7.4,"62,288",1.29,B
N,4,0.98,Çc,ÇrÇQ,300,15,,1998,9,0,,0,"2,954,136","505,248","1,077,235","2,786,096","66,655",1,1,1,1,1,0.205,0.003,329,0.96,"2,676","7,094",2.41,1.218,0.018,55,0.96,"7,094",2.41,A
N,5,1.22,Çc,Ç`,300,4,,1977,30,0,,0,"133,758","505,248","1,077,235","2,786,096","16,005",1,1,1,1,1,0.205,0.001,1370,0.96,642,"4,338",6.13,1.218,0.004,231,0.96,"4,338",6.13,A
N,6,1.22,Çc,Ç`,200,3,,1964,43,0,,0,"133,758","505,248","1,077,235","2,786,096","15,074",1,1,1,1,1,0.205,0.001,1454,0.96,605,"4,337",6.51,1.218,0.004,245,0.96,"4,337",6.51,A
N,7,1.22,Çc,Çs,200,219,,1977,30,0,,0,"1,610,800","505,248","1,077,235","2,786,096","986,939",1,1,1,1,1,0.205,0.045,22,1.43,"39,617","9,962",0.23,1.218,0.267,4,5.66,"39,429",0.9,C
N,8,0.86,Çc,Çs,200,53,,1977,30,0,,0,"1,610,800","505,248","1,077,235","2,786,096","238,322",1,1,1,1,1,0.205,0.011,92,0.96,"9,567","5,969",0.57,1.218,0.065,15,1.85,"11,503",1.09,B
N,9,1.22,Çc,Ç`,300,12,,1975,32,0,,0,"133,758","505,248","1,077,235","2,786,096","53,666",1,1,1,1,1,0.205,0.002,408,0.96,"2,154","4,374",1.84,1.218,0.015,69,0.96,"4,374",1.84,A
N,10,1.22,Çc,Çs,200,3,,1996,11,0,,0,"133,758","505,248","1,077,235","2,786,096","14,247",1,1,1,1,1,0.205,0.001,1539,0.96,572,"4,336",6.88,1.218,0.004,259,0.96,"4,336",6.88,A
