ward,no.,Çãíl,material,joint,diameter,length(m),leakage year,construction year,ñÑê›îNêî,çXê∂îNìx,çXê∂éÌï ,éñåÃçáåvåèêî,ìπòHåí îÌäQäzÅiâ~Åj,ésñØìôÇ÷ÇÃîÌäQäzÅiâ~Åj,ífêÖîÌäQäzÅiâ~Åj,èCëUîÔópÅiâ~Åj,òRêÖëπé∏(â~Åj,äOñ ïÖêHï‚ê≥åWêî,ì‡ñ ïÖêHï‚ê≥åWêî,ïzê›îNìxï‚ê≥åWêî,åpéËï‚ê≥åWêî,å˚åaï‚ê≥åWêî,âﬂãéÇÃéñåÃóRL(ÇòÅj,éñåÃî≠ê∂ó\ë™éÆRN,RNÇÃãtêî,ï÷âvÇÃä∑éZåWêî,îÔópÅiêÁâ~Åj,ï÷âvÅiêÁâ~Åj,îÔópï÷âvî‰,âﬂãéÇÃéñåÃóRL(Çò+1Åj,éñåÃî≠ê∂ó\ë™éÆRN',RN'ÇÃãtêî,ï÷âvÇÃä∑éZåWêî(2),ï÷âv(2)ÅiêÁâ~Åj,îÔópï÷âvî‰(2),ÉâÉìÉN
W,1,1.33,Çc,Çj,150,6,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","27,971",1,1,1,1,1,0.205,0.001,784,0.96,"1,123","5,767",4.66,1.218,0.008,132,0.96,"5,767",4.66,A
W,2,1.33,Çc,Çs,150,541,,1981,26,0,,0,"1,610,800","505,248","1,077,235","2,786,096","2,430,669",1,1,1,1,1,0.205,0.111,9,2.77,"97,571","23,296",0.22,1.218,0.658,2,10.88,"91,501",0.85,C
W,3,1.33,Çc,Çj,150,12,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","53,214",1,1,1,1,1,0.205,0.002,412,0.96,"2,136","5,791",2.46,1.218,0.014,69,0.96,"5,791",2.46,A
W,4,1.33,Çc,Çj,300,1,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","6,343",1,1,1,1,1,0.205,0,3456,0.96,255,"5,746",20.45,1.218,0.002,582,0.96,"5,746",20.45,A
W,5,1.33,Çc,ÇmÇr,200,156,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","703,758",1,1,1,1,1,0.205,0.032,31,1.19,"28,250","7,953",0.26,1.218,0.191,5,4.61,"30,809",0.99,C
W,6,1.33,Çc,ÇrÇQ,300,4,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","17,956",1,1,1,1,1,0.205,0.001,1221,0.96,721,"5,757",7.25,1.218,0.005,206,0.96,"5,757",7.25,A
W,7,1.33,Çc,ÇmÇr,200,259,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","1,163,639",1,1,1,1,1,0.205,0.053,19,1.58,"46,710","11,286",0.22,1.218,0.315,3,7.4,"52,858",1.03,B
W,8,1.33,Çc,ÇrÇQ,300,15,,2006,1,0,,0,"2,954,136","505,248","1,077,235","2,786,096","67,475",1,1,1,1,1,0.205,0.003,325,0.96,"2,709","7,095",2.38,1.218,0.018,55,0.96,"7,095",2.38,A
W,9,1.33,Çc,ÇrÇQ,300,6,,1997,10,0,,0,"1,610,800","505,248","1,077,235","2,786,096","28,268",1,1,1,1,1,0.205,0.001,775,0.96,"1,135","5,767",4.61,1.218,0.008,131,0.96,"5,767",4.61,A
W,10,1.33,Çc,Çs,150,207,,1980,27,0,,0,"536,574","505,248","1,077,235","2,786,096","928,801",1,1,1,1,1,0.205,0.042,24,1.35,"37,283","7,876",0.19,1.218,0.252,4,5.66,"33,020",0.8,C
W,11,1.33,Çc,Çs,150,1237,1989,1980,27,0,,2,"2,954,136","505,248","1,077,235","2,786,096","5,561,890",1,1,1,1,1,1.746,2.16,0,21.48,"223,262","276,761",1.12,1.969,2.436,0,21.48,"276,761",1.12,A
W,12,1.43,Çc,Çs,150,15,,1992,15,0,,0,"536,574","505,248","1,077,235","2,786,096","69,189",1,1,1,1,1,0.205,0.003,317,0.96,"2,777","4,775",1.56,1.218,0.019,53,0.96,"4,775",1.56,A
W,13,1.43,Çc,Çs,150,9,,1984,23,0,,0,"536,574","505,248","1,077,235","2,786,096","41,938",1,1,1,1,1,0.205,0.002,523,0.96,"1,683","4,749",2.56,1.218,0.011,88,0.96,"4,749",2.56,A
W,14,1.33,Çc,Çs,150,163,,1973,34,0,,0,"536,574","505,248","1,077,235","2,786,096","734,392",1,1,1,1,1,0.205,0.034,30,1.21,"29,480","6,824",0.21,1.218,0.199,5,4.61,"25,998",0.8,C
W,15,1.33,Çc,Çs,150,4,,1989,18,0,,0,"536,574","505,248","1,077,235","2,786,096","18,102",1,1,1,1,1,0.205,0.001,1211,0.96,727,"4,726",5.9,1.218,0.005,204,0.96,"4,726",5.9,A
W,16,1.33,Çc,Çs,150,1,,1973,34,0,,0,"536,574","505,248","1,077,235","2,786,096","5,993",1,1,1,1,1,0.205,0,3658,0.96,241,"4,715",17.75,1.218,0.002,616,0.96,"4,715",17.75,A
W,17,1.33,Çc,Çs,150,30,,1982,25,0,,0,"536,574","505,248","1,077,235","2,786,096","132,971",1,1,1,1,1,0.205,0.006,165,0.96,"5,338","4,837",0.82,1.218,0.036,28,1.25,"6,298",1.07,B
W,18,1.33,Çc,Çs,150,2,,1981,26,0,,0,"536,574","505,248","1,077,235","2,786,096","10,762",1,1,1,1,1,0.205,0,2037,0.96,432,"4,719",9.91,1.218,0.003,343,0.96,"4,719",9.91,A
W,19,1.33,Çc,Çs,150,3,,1981,26,0,,0,0,"505,248","1,077,235","2,786,096","15,172",1,1,1,1,1,0.205,0.001,1445,0.96,609,"4,208",6.27,1.218,0.004,243,0.96,"4,208",6.27,A
W,20,1.33,Çc,Çs,75,312,,1981,26,0,,0,0,"505,248","1,077,235","2,786,096","1,405,038",1,1,1,1,1,0.205,0.064,16,1.76,"56,400","10,162",0.16,1.218,0.381,3,7.4,"42,725",0.69,C
W,21,1.33,Çc,Çs,150,3,,1981,26,0,,0,0,"505,248","1,077,235","2,786,096","14,671",1,1,1,1,1,0.205,0.001,1494,0.96,589,"4,208",6.48,1.218,0.004,252,0.96,"4,208",6.48,A
W,22,1.33,Çc,Çs,75,134,,1981,26,0,,0,0,"505,248","1,077,235","2,786,096","601,532",1,1,1,1,1,0.205,0.027,36,1.11,"24,146","5,517",0.21,1.218,0.163,6,3.92,"19,483",0.73,C
W,23,1.33,Çc,Çs,75,112,,1981,26,0,,0,0,"505,248","1,077,235","2,786,096","505,755",1,1,1,1,1,0.205,0.023,43,1.02,"20,302","4,972",0.22,1.218,0.137,7,3.42,"16,670",0.75,C
W,24,1.33,Çc,Çs,75,100,,1981,26,0,,0,0,"505,248","1,077,235","2,786,096","451,647",1,1,1,1,1,0.205,0.021,49,0.96,"18,130","4,627",0.23,1.218,0.122,8,3.05,"14,702",0.74,C
W,25,1.3,Çc,Ç`,100,99,,1968,39,0,,0,0,"505,248","1,077,235","2,786,096","444,671",1,1,1,1,1,0.205,0.02,49,0.96,"17,850","4,621",0.23,1.218,0.12,8,3.05,"14,680",0.75,C
W,26,1.51,Çc,Çj,300,138,,1987,20,0,,0,"1,610,800","505,248","1,077,235","2,786,096","619,088",1,1,1,1,1,0.205,0.028,35,1.12,"24,851","7,390",0.27,1.218,0.168,6,3.92,"25,866",0.94,C
W,27,1.51,Çc,Çj,300,140,,1988,19,0,,0,"1,610,800","505,248","1,077,235","2,786,096","630,021",1,1,1,1,1,0.205,0.029,35,1.12,"25,290","7,403",0.27,1.218,0.171,6,3.92,"25,909",0.93,C
W,28,1.51,Çc,Çs,150,556,,1978,29,0,,0,"2,954,136","505,248","1,077,235","2,786,096","2,498,187",1,1,1,1,1,0.205,0.114,9,2.77,"100,281","27,204",0.25,1.218,0.677,1,21.48,"210,953",1.91,B
W,29,1.51,Çc,Çs,150,164,,1971,36,0,,0,"1,610,800","505,248","1,077,235","2,786,096","735,489",1,1,1,1,1,0.205,0.034,30,1.21,"29,524","8,125",0.25,1.218,0.199,5,4.61,"30,956",0.95,C
W,30,1.51,Çc,Çs,150,3,,1987,20,0,,0,"1,610,800","505,248","1,077,235","2,786,096","13,336",1,1,1,1,1,0.205,0.001,1644,0.96,535,"5,753",9.76,1.218,0.004,277,0.96,"5,753",9.76,A
W,31,1.51,Çc,Çj,300,41,,1989,18,0,,0,"1,610,800","505,248","1,077,235","2,786,096","182,797",1,1,1,1,1,0.205,0.008,120,0.96,"7,338","5,916",0.73,1.218,0.05,20,1.52,"9,367",1.16,B
W,32,1.33,Çc,Ç`,300,44,,1985,22,0,,0,"2,954,136","505,248","1,077,235","2,786,096","198,029",1,1,1,1,1,0.205,0.009,111,0.96,"7,949","7,220",0.82,1.218,0.054,19,1.58,"11,883",1.36,B
W,33,1.23,Çc,Çs,150,9,,1977,30,0,,0,"2,954,136","505,248","1,077,235","2,786,096","38,335",1,1,1,1,1,0.205,0.002,572,0.96,"1,539","7,067",4.17,1.218,0.01,96,0.96,"7,067",4.17,A
W,34,1.23,Çc,Çj,300,3,,1997,10,0,,0,"2,954,136","505,248","1,077,235","2,786,096","13,913",1,1,1,1,1,0.205,0.001,1576,0.96,558,"7,043",11.45,1.218,0.004,265,0.96,"7,043",11.45,A
W,35,1.23,Çc,Ç`,300,3,,1970,37,0,,0,"2,954,136","505,248","1,077,235","2,786,096","13,984",1,1,1,1,1,0.205,0.001,1567,0.96,561,"7,043",11.39,1.218,0.004,264,0.96,"7,043",11.39,A
W,36,1.23,Çc,Çs,150,127,,1980,27,0,,0,"2,954,136","505,248","1,077,235","2,786,096","569,950",1,1,1,1,1,0.205,0.026,38,1.08,"22,879","8,524",0.34,1.218,0.154,6,3.92,"30,939",1.23,B
W,37,1.23,Çc,Çj,100,1,,1997,10,0,,0,"2,954,136","505,248","1,077,235","2,786,096","5,149",1,1,1,1,1,0.205,0,4257,0.96,207,"7,035",30.84,1.218,0.001,717,0.96,"7,035",30.84,A
W,38,1.23,Çc,Ç`,150,196,,1970,37,0,,0,"2,954,136","505,248","1,077,235","2,786,096","880,373",1,1,1,1,1,0.205,0.04,25,1.32,"35,339","10,828",0.28,1.218,0.238,4,5.66,"46,429",1.19,B
W,39,1.23,Çc,Ç`,150,3,,1970,37,0,,0,"2,954,136","505,248","1,077,235","2,786,096","12,927",1,1,1,1,1,0.205,0.001,1696,0.96,519,"7,042",12.31,1.218,0.004,286,0.96,"7,042",12.31,A
W,40,1.23,Çc,Çs,150,5,,1992,15,0,,0,"2,954,136","505,248","1,077,235","2,786,096","22,434",1,1,1,1,1,0.205,0.001,977,0.96,901,"7,051",7.1,1.218,0.006,165,0.96,"7,051",7.1,A
W,41,1.51,Çc,Ç`,150,857,1985,1968,39,0,,3,"2,954,136","505,248","1,077,235","2,786,096","3,855,552",1,1,1,1,1,1.969,1.688,1,21.48,"154,767","240,109",1.41,1.969,1.688,1,21.48,"240,109",1.41,A
W,42,1.51,Çc,Ç`,150,4,,1970,37,0,,0,"2,954,136","505,248","1,077,235","2,786,096","18,908",1,1,1,1,1,0.205,0.001,1159,0.96,759,"7,048",8.43,1.218,0.005,195,0.96,"7,048",8.43,A
W,43,1.23,Çc,Çs,150,53,,1981,26,0,,0,"53,133","505,248","1,077,235","2,786,096","237,571",1,1,1,1,1,0.205,0.011,92,0.96,"9,536","4,473",0.43,1.218,0.064,16,1.76,"8,200",0.78,C
W,44,1.23,Çc,Çs,150,195,,1971,36,0,,0,"133,758","505,248","1,077,235","2,786,096","875,440",1,1,1,1,1,0.205,0.04,25,1.32,"35,141","7,099",0.18,1.218,0.237,4,5.66,"30,438",0.79,C
W,45,1.51,Çc,Ç`,150,135,,1970,37,0,,0,"2,954,136","505,248","1,077,235","2,786,096","606,020",1,1,1,1,1,0.205,0.028,36,1.11,"24,327","8,801",0.33,1.218,0.164,6,3.92,"31,081",1.16,B
W,46,1.51,Çc,Çs,150,247,,1972,35,0,,0,"133,758","505,248","1,077,235","2,786,096","1,112,985",1,1,1,1,1,0.205,0.051,20,1.52,"44,677","8,535",0.17,1.218,0.301,3,7.4,"41,553",0.84,C
W,47,1.51,Çc,Çs,150,136,,1971,36,0,,0,"133,758","505,248","1,077,235","2,786,096","612,478",1,1,1,1,1,0.205,0.028,36,1.11,"24,586","5,677",0.21,1.218,0.166,6,3.92,"20,050",0.74,C
