before,after,interval,const,x1,x2,x3
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,3,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,1,1.096,1,0,0,1
1,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
3,3,1.096,1,0,0,1
3,3,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
2,2,1.096,1,0,0,1
3,4,1.096,1,0,0,1
