BEFORE,AFTER,ì_åüä‘äu,ê‡ñæïœêî2
2,2,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,4,7.887671233,13.16428571
3,3,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,3,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,2,7.887671233,13.16428571
3,3,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,2,7.887671233,13.16428571
3,3,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,2,7.887671233,13.16428571
2,2,7.890410959,13.58
2,2,7.890410959,13.58
2,2,7.890410959,13.58
2,3,7.98630137,20.79444444
2,3,7.98630137,20.79444444
2,4,7.98630137,20.79444444
2,4,7.98630137,20.79444444
2,3,7.98630137,20.79444444
2,3,7.98630137,20.79444444
2,3,7.98630137,20.79444444
3,3,7.98630137,20.79444444
2,3,7.98630137,20.79444444
2,3,7.98630137,20.79444444
4,4,7.98630137,20.79444444
2,3,7.98630137,20.79444444
2,3,7.98630137,20.79444444
3,3,7.98630137,20.79444444
3,3,7.98630137,20.79444444
3,3,7.98630137,20.79444444
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,3,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
2,2,7.98630137,11.00882353
3,3,7.920547945,13.58
3,3,7.920547945,13.58
3,4,7.920547945,13.58
3,3,7.920547945,13.58
3,3,7.920547945,13.58
3,3,7.920547945,13.58
3,3,7.920547945,13.58
3,3,7.920547945,13.58
3,3,7.920547945,13.58
3,3,7.920547945,13.58
3,4,7.920547945,13.58
3,3,7.920547945,13.58
3,3,7.920547945,13.58
2,3,7.920547945,13.58
3,3,5.830136986,16.16363636
3,3,5.830136986,17.23076923
3,3,5.830136986,17.23076923
2,2,5.830136986,17.23076923
3,3,5.830136986,16.8
2,3,5.830136986,16.8
2,3,5.830136986,16.8
2,3,7.898630137,9.47072
3,3,7.808219178,13.16965517
3,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
3,3,7.808219178,13.16965517
3,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
3,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
3,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
3,3,7.808219178,13.16965517
3,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
3,3,7.808219178,13.16965517
3,4,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
3,3,7.808219178,13.16965517
3,3,7.808219178,13.16965517
3,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,3,7.808219178,13.16965517
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
2,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
1,2,7.950684932,13.574
2,2,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
3,3,7.950684932,13.552
2,3,7.950684932,13.552
3,3,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
3,3,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
2,3,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
3,3,7.950684932,13.552
2,2,7.950684932,13.552
2,3,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
3,3,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
3,3,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
2,2,7.950684932,13.552
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,3,7.950684932,16.97142857
1,3,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,16.97142857
1,2,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,3,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,3,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,3,7.950684932,19.56428571
1,3,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,3,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,3,7.950684932,19.56428571
1,2,7.950684932,19.56428571
1,1,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
2,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,2,7.783561644,13.31792
1,1,7.783561644,13.31792
1,1,7.783561644,13.47104
1,3,7.783561644,13.47104
1,4,7.783561644,13.47104
1,4,7.783561644,13.47104
1,4,7.783561644,13.47104
3,3,3.073972603,13.47104
3,4,7.783561644,13.47104
1,4,7.783561644,13.47104
1,3,7.783561644,13.47104
1,4,7.783561644,13.47104
1,4,7.783561644,13.47104
3,3,3.073972603,13.47104
3,4,7.783561644,13.47104
1,4,7.783561644,13.47104
1,4,7.783561644,13.47104
1,3,7.783561644,13.47104
1,4,7.783561644,13.47104
3,3,3.073972603,13.47104
3,4,7.783561644,13.47104
1,4,7.783561644,13.47104
1,4,7.783561644,13.47104
1,4,7.783561644,13.47104
1,1,7.783561644,13.47104
1,1,7.783561644,13.47104
1,1,7.783561644,13.47104
1,1,7.783561644,13.47104
1,1,7.783561644,13.47104
1,1,7.783561644,13.47104
1,1,7.783561644,13.47104
1,1,7.783561644,13.475
1,3,7.783561644,13.475
3,3,3.073972603,13.475
3,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,4,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,1,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,1,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,3,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,4,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
1,1,3.073972603,13.475
1,3,7.783561644,13.475
