Time,DS1,DS2,,I2-GCS2,I3-GCS2,I2-GCS3,I3-GCS3
1,2179679.95,2080086,,2017293,1904137,1892698,1795582
2,3304289.12,3207109,,3121795,3008841,2975425,2875320
3,4481540.2,4408271,,4263378,4172254,4088681,4000479
4,5556544.48,5543118,,5287344,5251830,5074965,5022071
5,6571407.6,6661360,,6229670,6287865,5967865,5975626
6,7541023.07,7784682,,7103773,7297493,6781633,6877206
7,8464080.92,8916627,,7911550,8284974,7521416,7733121
8,9327261.61,10045679,,8647911,9245772,8187432,8543911
9,10107669.95,11146597,,9303239,10168644,8777072,9306335
10,10775245.59,12182020,,9865114,11037134,9286159,10014572
11,11295898.67,13105400,,10319826,11831023,9709821,10661080
12,11635601.77,13865782,,10653832,12527960,10043168,11237310
13,11765222.61,14414282,,10855199,13105342,10281849,11734360
14,11665459.31,14711380,,10914987,13542358,10422528,12143601
15,11330933.61,14733508,,10828438,13822016,10463276,12457273
16,10772449.53,14477276,,10595869,13932934,10403879,12669031
17,10016725.16,13960136,,10223144,13870624,10246052,12774427
18,9103510.12,13217310,,9721636,13638100,9993548,12771279
19,8080705.72,12295972,,9107681,13245687,9652147,12659922
20,6998623.68,11248382,,8401560,12710078,9229540,12443304
21,6104642.34,10125665,,7626147,12052805,8735105,12126919
22,5239237.93,8973346,,6805383,11298373,8179586,11718604
23,4381317.018,8111154.333,,5962776,10472345,7574707,11228180
24,3475864.463,7103826.476,,5120069,9599626,6932740,10667009
25,2570411.909,6096498.619,,4296214,8703134,6266062,10047476
26,1664959.355,5089170.762,,3506708,7802914,5586727,9382451
27,759506.8008,4081842.905,,3150376.545,7327304.083,4906080,8684776
28,-145945.7533,3074515.048,,2453054.668,6581141.3,4234434,7966801
29,-1051398.308,2067187.19,,1755732.79,5834978.517,3580830,7240001
30,-1956850.862,1059859.333,,1058410.913,5088815.733,2952857,6514693
