Time,DS1,DS2,,I2-GCS2,I3-GCS2,I2-GCS3,I3-GCS3,
1,2179679.95,0,,2017293,1904137,1892698,1795582,0
2,3304289.12,0,,3121795,3008841,2975425,2875320,0
3,4481540.2,0,,4263378,4172254,4088681,4000479,0
4,5556544.48,0,,5287344,5251830,5074965,5022071,5136052
5,6571407.6,0,,6229670,6287865,5967865,5975626,17078980
6,7541023.07,0,,7103773,7297493,6781633,6877206,38292660
7,8464080.92,0,,7911550,8284974,7521416,7733121,67831220
8,9327261.61,0,,8647911,9245772,8187432,8543911,102880300
9,10107669.95,0,,9303239,10168644,8777072,9306335,139750000
10,10775245.59,838826.9,,9865114,11037134,9286159,10014572,174626800
11,11295898.67,4250864.4,,10319826,11831023,9709821,10661080,204055100
12,11635601.77,7596294.3,,10653832,12527960,10043168,11237310,225223800
13,11765222.61,10874165.4,,10855199,13105342,10281849,11734360,236126400
14,11665459.31,14083375,,10914987,13542358,10422528,12143601,235651100
15,11330933.61,17222675.8,,10828438,13822016,10463276,12457273,223632400
16,10772449.53,20290684.1,,10595869,13932934,10403879,12669031,200885100
17,10016725.16,23285888,,10223144,13870624,10246052,12774427,169230100
18,9103510.12,26206655.6,,9721636,13638100,9993548,12771279,131506100
19,8080705.72,29051244.8,,9107681,13245687,9652147,12659922,91543880
20,6998623.68,31817811.5,,8401560,12710078,9229540,12443304,54027780
21,6104642.34,34504420.4,,7626147,12052805,8735105,12126919,24057290
22,5239237.93,37109054,,6805383,11298373,8179586,11718604,5937993
23,4381317.018,39629623.9,,5962776,10472345,7574707,11228180,213295.3
24,3475864.463,42063980.4,,5120069,9599626,6932740,10667009,0
25,2570411.909,44409924.1,,4296214,8703134,6266062,10047476,0
26,1664959.355,46665216.7,,3506708,7802914,5586727,9382451,0
27,759506.8008,48827592.3,,3150376.545,7327304.083,4906080,8684776,0
28,-145945.7533,50894768.7,,2453054.668,6581141.3,4234434,7966801,0
29,-1051398.308,52864458.9,,1755732.79,5834978.517,3580830,7240001,0
30,-1956850.862,54734382.9,,1058410.913,5088815.733,2952857,6514693,0
31,,56502278.9,,,,,,
32,,58165915.1,,,,,,
33,,59723101,,,,,,
34,,61171698.8,,,,,,
35,,62509634.2,,,,,,
36,,63734907.7,,,,,,
37,,64845604.5,,,,,,
38,,65839905,,,,,,
39,,66716094.8,,,,,,
40,,67472573.1,,,,,,
41,,68107862.3,,,,,,
42,,68620615.8,,,,,,
43,,69009625.1,,,,,,
44,,69273827.2,,,,,,
45,,69412310.6,,,,,,
46,,69424320.1,,,,,,
47,,69309262.2,,,,,,
48,,69066707.7,,,,,,
49,,68696395.5,,,,,,
50,,68198233.5,,,,,,
51,,67572300.3,,,,,,
52,,66818844.7,,,,,,
53,,65938284.6,,,,,,
54,,64931205.2,,,,,,
55,,63798355.6,,,,,,
56,,62540644.8,,,,,,
57,,61159136.7,,,,,,
58,,59655043.6,,,,,,
59,,58029719.2,,,,,,
60,,56284650,,,,,,
61,,54421446.6,,,,,,
62,,52441832.7,,,,,,
63,,50347634.5,,,,,,
64,,48140768,,,,,,
65,,45823225.7,,,,,,
66,,43397062.9,,,,,,
67,,40864382.2,,,,,,
68,,38227317.4,,,,,,
69,,35488016.9,,,,,,
70,,32648624.9,,,,,,
71,,29711263.2,,,,,,
72,,26678010,,,,,,
73,,23550879.2,,,,,,
74,,20331796.6,,,,,,
75,,17022575.2,,,,,,
76,,13624887.7,,,,,,
77,,10140235.2,,,,,,
78,,6569911.2,,,,,,
79,,2914956.8,,,,,,
80,,0,,,,,,
