ward,no.,??Åfl,material,joint,diameter,length(m),leakage year,construction year,??ê›ÅhNêÅh,çXê∂ÅhNÅgx,çXê∂??? ,???ÃçÅˆ?v?èêÅh,Ågπ?H??Åf Åh??Q?zÅiÅÒ~Åj,?s?ØÅg??÷?ÃÅh??Q?zÅiÅÒ~Åj,ÅffêÅcÅh??Q?zÅiÅÒ~Åj,èCÅeUÅh??pÅiÅÒ~Åj,?RêÅcÅeπ?∏(ÅÒ~Åj,?O? ?ÅcêH??ê≥?WêÅh,Åg?? ?ÅcêH??ê≥?WêÅh,?zê›ÅhNÅgx??ê≥?WêÅh,?p????ê≥?WêÅh,???a??ê≥?WêÅh,ÅÒﬂ???Ã???Ã??RL(??Åj,???ÃÅh≠ê∂?\Åe™?ÆRN,RN?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh,Åh??pÅiê?ÅÒ~Åj,?÷ÅÒvÅiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?,ÅÒﬂ???Ã???Ã??RL(??+1Åj,???ÃÅh≠ê∂?\Åe™?ÆRN',RN'?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh(2),?÷ÅÒv(2)Åiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?(2),?ÅÒ?Åg?N
A,1,0.69,?c,?s,100,8,,1975,32,0,,0,"1,610,800","505,248","1,077,235","2,786,096","34,549",1,1,1,1,1,0.205,0.002,634,0.96,"1,387","5,773",3.78,1.218,0.009,107,0.96,"5,773",3.78,A
A,2,1.3,?c,?s,150,21,,1977,30,0,,0,"1,610,800","505,248","1,077,235","2,786,096","94,978",1,1,1,1,1,0.205,0.004,231,0.96,"3,813","5,831",1.39,1.218,0.026,39,1.07,"6,500",1.55,A
A,3,1.04,?c,?`,300,654,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","2,942,095",1,1,1,1,1,0.205,0.134,7,3.42,"118,100","25,184",0.19,1.218,0.797,1,21.48,"158,175",1.22,B
A,4,0.69,?c,?`,300,2,,1969,38,0,,0,0,"505,248","1,077,235","2,786,096","7,453",1,1,1,1,1,0.205,0,2941,0.96,299,"4,201",12.75,1.218,0.002,495,0.96,"4,201",12.75,A
A,5,0.69,?c,?`,300,24,,1978,29,0,,0,"2,954,136","505,248","1,077,235","2,786,096","108,764",1,1,1,1,1,0.205,0.005,202,0.96,"4,366","7,134",1.48,1.218,0.029,34,1.14,"8,472",1.76,A
A,6,0.69,?c,?s,200,3,,1988,19,0,,0,"2,954,136","505,248","1,077,235","2,786,096","11,660",1,1,1,1,1,0.205,0.001,1880,0.96,468,"7,041",13.65,1.218,0.003,317,0.96,"7,041",13.65,A
A,7,0.69,?c,?s,200,66,,1986,21,0,,0,"2,954,136","505,248","1,077,235","2,786,096","296,894",1,1,1,1,1,0.205,0.014,74,0.96,"11,918","7,315",0.56,1.218,0.08,12,2.19,"16,687",1.27,B
A,8,0.69,?c,?j,200,3,,1997,10,0,,0,"2,954,136","505,248","1,077,235","2,786,096","12,226",1,1,1,1,1,0.205,0.001,1793,0.96,491,"7,042",13.01,1.218,0.003,302,0.96,"7,042",13.01,A
A,9,0.69,?c,?j,100,3,,1997,10,0,,0,"2,954,136","505,248","1,077,235","2,786,096","15,704",1,1,1,1,1,0.205,0.001,1396,0.96,630,"7,045",10.15,1.218,0.004,235,0.96,"7,045",10.15,A
A,10,0.69,?c,?s,200,15,,1986,21,0,,0,"2,954,136","505,248","1,077,235","2,786,096","67,307",1,1,1,1,1,0.205,0.003,326,0.96,"2,702","7,094",2.38,1.218,0.018,55,0.96,"7,094",2.38,A
