ward,no.,??Åfl,material,joint,diameter,length(m),leakage year,construction year,??ê›ÅhNêÅh,çXê∂ÅhNÅgx,çXê∂??? ,???ÃçÅˆ?v?èêÅh,Ågπ?H??Åf Åh??Q?zÅiÅÒ~Åj,?s?ØÅg??÷?ÃÅh??Q?zÅiÅÒ~Åj,ÅffêÅcÅh??Q?zÅiÅÒ~Åj,èCÅeUÅh??pÅiÅÒ~Åj,?RêÅcÅeπ?∏(ÅÒ~Åj,?O? ?ÅcêH??ê≥?WêÅh,Åg?? ?ÅcêH??ê≥?WêÅh,?zê›ÅhNÅgx??ê≥?WêÅh,?p????ê≥?WêÅh,???a??ê≥?WêÅh,ÅÒﬂ???Ã???Ã??RL(??Åj,???ÃÅh≠ê∂?\Åe™?ÆRN,RN?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh,Åh??pÅiê?ÅÒ~Åj,?÷ÅÒvÅiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?,ÅÒﬂ???Ã???Ã??RL(??+1Åj,???ÃÅh≠ê∂?\Åe™?ÆRN',RN'?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh(2),?÷ÅÒv(2)Åiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?(2),?ÅÒ?Åg?N
G,1,1.32,?c,?r?Q,300,765,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","3,439,279",1,1,1,1,1,0.205,0.157,6,3.92,"138,058","30,607",0.2,1.218,0.931,1,21.48,"167,713",1.1,B
G,2,0,?c,?m?r,75,260,,2003,4,0,,0,0,"505,248","1,077,235","2,786,096","1,168,289",1,1,1,1,1,0.205,0.053,19,1.58,"46,897","8,748",0.17,1.218,0.316,3,7.4,"40,973",0.79,C
G,3,0,?c,?m?r,200,968,,2001,6,0,,0,0,"505,248","1,077,235","2,786,096","4,351,841",1,1,1,1,1,0.205,0.199,5,4.61,"174,689","40,201",0.21,1.218,1.179,1,21.48,"187,315",0.97,C
G,4,0,?c,?m?r,75,705,,2001,6,0,,0,0,"505,248","1,077,235","2,786,096","3,170,021",1,1,1,1,1,0.205,0.145,7,3.42,"127,249","25,782",0.18,1.218,0.859,1,21.48,"161,929",1.15,B
G,5,0,?c,?m?r,100,4,,2001,6,0,,0,0,"505,248","1,077,235","2,786,096","16,997",1,1,1,1,1,0.205,0.001,1290,0.96,682,"4,210",5.6,1.218,0.005,217,0.96,"4,210",5.6,A
G,6,1.32,?c,?r?Q,300,247,,1993,14,0,,0,0,"505,248","1,077,235","2,786,096","1,109,837",1,1,1,1,1,0.205,0.051,20,1.52,"44,550","8,327",0.17,1.218,0.301,3,7.4,"40,540",0.83,C
G,7,1.32,?c,?r?Q,300,321,,1992,15,0,,0,0,"505,248","1,077,235","2,786,096","1,441,653",1,1,1,1,1,0.205,0.066,15,1.85,"57,870","10,749",0.17,1.218,0.39,3,7.4,"42,996",0.67,C
G,8,1.32,?c,?r?Q,300,327,,1992,15,0,,0,0,"505,248","1,077,235","2,786,096","1,469,008",1,1,1,1,1,0.205,0.067,15,1.85,"58,968","10,800",0.17,1.218,0.398,3,7.4,"43,198",0.66,C
G,9,1.32,?c,?m?r,200,770,,2000,7,0,,0,0,"505,248","1,077,235","2,786,096","3,462,285",1,1,1,1,1,0.205,0.158,6,3.92,"138,981","30,697",0.2,1.218,0.938,1,21.48,"168,207",1.1,B
G,10,0,?c,?m?r,200,175,,2003,4,0,,0,0,"505,248","1,077,235","2,786,096","787,299",1,1,1,1,1,0.205,0.036,28,1.25,"31,603","6,445",0.19,1.218,0.213,5,4.61,"23,769",0.68,C
