ward,no.,Çãíl,material,joint,diameter,length(m),leakage year,construction year,ñÑê›îNêî,çXê∂îNìx,çXê∂éÌï ,éñåÃçáåvåèêî,ìπòHåí îÌäQäzÅiâ~Åj,ésñØìôÇ÷ÇÃîÌäQäzÅiâ~Åj,ífêÖîÌäQäzÅiâ~Åj,èCëUîÔópÅiâ~Åj,òRêÖëπé∏(â~Åj,äOñ ïÖêHï‚ê≥åWêî,ì‡ñ ïÖêHï‚ê≥åWêî,ïzê›îNìxï‚ê≥åWêî,åpéËï‚ê≥åWêî,å˚åaï‚ê≥åWêî,âﬂãéÇÃéñåÃóRL(ÇòÅj,éñåÃî≠ê∂ó\ë™éÆRN,RNÇÃãtêî,ï÷âvÇÃä∑éZåWêî,îÔópÅiêÁâ~Åj,ï÷âvÅiêÁâ~Åj,îÔópï÷âvî‰,âﬂãéÇÃéñåÃóRL(Çò+1Åj,éñåÃî≠ê∂ó\ë™éÆRN',RN'ÇÃãtêî,ï÷âvÇÃä∑éZåWêî(2),ï÷âv(2)ÅiêÁâ~Åj,îÔópï÷âvî‰(2),ÉâÉìÉN
Y,1,0.86,Çc,Çj,100,5,,1998,9,0,,0,"1,610,800","505,248","1,077,235","2,786,096","20,274",1,1,1,1,1,0.205,0.001,1081,0.96,814,"5,760",6.42,1.218,0.005,182,0.96,"5,760",6.42,A
Y,2,0.92,Çc,Çs,100,14,,1987,20,0,,0,0,"505,248","1,077,235","2,786,096","62,498",1,1,1,1,1,0.205,0.003,351,0.96,"2,509","4,254",1.54,1.218,0.017,59,0.96,"4,254",1.54,A
Y,3,0.92,Çc,Çs,100,201,,1988,19,0,,0,0,"505,248","1,077,235","2,786,096","902,593",1,1,1,1,1,0.205,0.041,24,1.35,"36,231","7,116",0.18,1.218,0.244,4,5.66,"29,835",0.75,C
Y,4,0.92,Çc,Çs,200,103,,1985,22,0,,0,0,"505,248","1,077,235","2,786,096","464,117",1,1,1,1,1,0.205,0.021,47,0.98,"18,630","4,736",0.23,1.218,0.126,8,3.05,"14,740",0.72,C
Y,5,0.92,Çc,Çs,200,11,,1984,23,0,,0,0,"505,248","1,077,235","2,786,096","47,683",1,1,1,1,1,0.205,0.002,460,0.96,"1,914","4,240",2.01,1.218,0.013,77,0.96,"4,240",2.01,A
Y,6,0.92,Çc,Çs,200,18,,1987,20,0,,0,0,"505,248","1,077,235","2,786,096","81,743",1,1,1,1,1,0.205,0.004,268,0.96,"3,281","4,272",1.18,1.218,0.022,45,1,"4,450",1.23,A
Y,7,0.92,Çc,Çs,200,3,,1988,19,0,,0,0,"505,248","1,077,235","2,786,096","12,159",1,1,1,1,1,0.205,0.001,1803,0.96,488,"4,206",7.82,1.218,0.003,304,0.96,"4,206",7.82,A
Y,8,0.83,Çc,Çs,150,287,,1993,14,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,292,883",1,1,1,1,1,0.205,0.059,17,1.69,"51,898","14,560",0.25,1.218,0.35,3,7.4,"63,755",1.11,B
Y,9,0.77,Çc,Ç`,300,4,,1982,25,0,,0,"2,954,136","505,248","1,077,235","2,786,096","18,679",1,1,1,1,1,0.205,0.001,1174,0.96,750,"7,048",8.53,1.218,0.005,198,0.96,"7,048",8.53,A
Y,10,0.77,Çc,Çs,100,141,,1988,19,0,,0,"2,954,136","505,248","1,077,235","2,786,096","634,558",1,1,1,1,1,0.205,0.029,35,1.12,"25,472","8,912",0.32,1.218,0.172,6,3.92,"31,193",1.11,B
